dis,gene,av.sim
C0000731,DUOX2,0.1483
C0000731,SLC26A4,0.0952
C0000731,TG,0.0934
C0000731,TSHR,0.0657
C0000731,NKX2-5,0.0651
C0000731,GUCY2C,0.0496
C0000731,PAX8,0.0493
C0000731,TPO,0.04
C0000731,SLC5A5,0.0353
C0000731,FOXE1,0.0298333333333333
C0000731,TSHB,0.0283
C0000731,SOX10,0.02805
C0000731,HESX1,0.0273
C0000731,THRB,0.0268
C0000731,POU1F1,0.0261
C0000737,ND4,0.0989
C0000737,PTPN22,0.0787
C0000737,PRTN3,0.061
C0000737,TRNS1,0.0578
C0000737,TRNS2,0.0572
C0000737,ND6,0.0544
C0000737,LIMK1,0.052
C0000737,COX3,0.0509
C0000737,TRNW,0.0506
C0000737,TRNL1,0.0503
C0000737,GTF2IRD1,0.05
C0000737,TRNH,0.0494
C0000737,ND5,0.0494
C0000737,CTLA4,0.0494
C0000737,TRNQ,0.0491
C0000768,EYA1,0.2197
C0000768,SIX1,0.2176
C0000768,NOTCH1,0.0469
C0000768,ORC1,0.0398833333333333
C0000768,UBB,0.0324333333333333
C0000768,EP300,0.0307166666666666
C0000768,LFNG,0.0257
C0000768,NOTCH3,0.0253
C0000768,FLNB,0.0231199999999999
C0000768,PAX1,0.0228833333333333
C0000768,ACF,0.02192
C0000768,KCNJ10,0.0207
C0000768,CD151,0.0207
C0000768,PDCD10,0.01715
C0000768,SLC16A2,0.0164999999999999
C0000786,FGB,0.0993
C0000786,COL1A1,0.0838
C0000786,CODA,0.0761285714285714
C0000786,DCN,0.07302
C0000786,FGG,0.0703
C0000786,COL5A2,0.0637
C0000786,CXCL9,0.052
C0000786,FGA,0.0423
C0000786,OTSC1,0.0352
C0000786,ACAN,0.0322375
C0000786,HOXD13,0.0267
C0000786,FOXE1,0.0255374999999999
C0000786,PRF1,0.0254
C0000786,INHBB,0.0243
C0000786,HDAC4,0.0223
C0000832,IARS2,0.1379
C0000832,PLOD1,0.1282
C0000832,BBS4,0.1106
C0000832,PSEN2,0.1098
C0000832,ALG9,0.09605
C0000832,BBS2,0.08115
C0000832,NIDDM3,0.0773
C0000832,TARS2,0.0764
C0000832,PC,0.0756
C0000832,GAA,0.0633
C0000832,CLRN1,0.0627
C0000832,ADIPOQ,0.05765
C0000832,HP,0.0384
C0000832,BBS7,0.0382
C0000832,CDH23,0.038
C0000887,DSP,0.2281
C0000887,DSC2,0.0561799999999999
C0000887,KRT1,0.0412
C0000887,PKP1,0.04042
C0000887,DSG1,0.0388
C0000887,HLA-B,0.035
C0000887,COL7A1,0.03456
C0000887,ATP2C1,0.0307
C0000887,IKZF1,0.0306
C0000887,KRT14,0.0249
C0000887,KRT5,0.0245799999999999
C0000887,CDH5,0.021325
C0000887,LAMB3,0.0198199999999999
C0000887,ITGB4,0.01978
C0000887,PLEC,0.01952
C0000889,AGPAT2,0.3441
C0000889,PPARG,0.2048
C0000889,BSCL2,0.1943
C0000889,LIPE,0.1607
C0000889,LMNA,0.1506
C0000889,PLIN1,0.0681
C0000889,CAV1,0.0678
C0000889,ZMPSTE24,0.0593777777777777
C0000889,AKT2,0.0483
C0000889,PPP1R3A,0.0388
C0000889,LEPR,0.0374666666666666
C0000889,LEP,0.0363222222222222
C0000889,KCNJ6,0.02345
C0000889,CGA,0.0231
C0000889,PIK3R1,0.0211222222222222
C0001122,CYP11B1,0.23195
C0001122,POR,0.1581
C0001122,HSD3B2,0.0982
C0001122,CYP17A1,0.0723
C0001122,CYP11B2,0.05805
C0001122,ATP7B,0.0562
C0001122,CYP11A1,0.055
C0001122,ATF3,0.0499
C0001122,LMNA,0.0447
C0001122,NR0B1,0.0368
C0001122,CLCNKB,0.03575
C0001122,SLC5A1,0.0346
C0001122,NR5A1,0.03125
C0001122,WNT4,0.0279
C0001122,AR,0.0275
C0001125,TRNT,0.1423
C0001125,NDUFS4,0.1145
C0001125,ND4,0.112
C0001125,ND5,0.1097
C0001125,ND1,0.109
C0001125,NDUFS3,0.0851
C0001125,TRNL1,0.0846
C0001125,ND6,0.0834
C0001125,POLG,0.0831
C0001125,NDUFAF3,0.0822
C0001125,NDUFA1,0.0803
C0001125,NDUFB3,0.08
C0001125,FOXRED1,0.0787
C0001125,NDUFS1,0.0785
C0001125,NDUFV2,0.0784
C0001126,FXYD2,0.0633333333333333
C0001126,ATP6V0A4,0.0577
C0001126,JAG1,0.0521
C0001126,AMACR,0.03855
C0001126,SLC4A1,0.0382
C0001126,RHAG,0.0291571428571428
C0001126,FAH,0.02635
C0001126,VIPAS39,0.0253749999999999
C0001126,SCN4A,0.02256
C0001126,SLC12A3,0.0206333333333333
C0001126,CA2,0.0196
C0001126,GP1BA,0.0193
C0001126,ABCB6,0.0182
C0001126,PC,0.0172333333333333
C0001126,HNF1B,0.0172166666666666
C0001175,IL2,0.2622
C0001175,IFNG,0.1549
C0001175,IFNA2,0.1471
C0001175,CSF2,0.1237
C0001175,SST,0.1222
C0001175,TSC1,0.0974
C0001175,IL10,0.05975
C0001175,MASP2,0.059
C0001175,TLR5,0.0577
C0001175,IFNB1,0.0475999999999999
C0001175,IFNGR1,0.0458
C0001175,TSC2,0.0422
C0001175,MEN1,0.042
C0001175,BTK,0.0371
C0001175,IL5,0.0331
C0001206,CDKN1B,0.279
C0001206,MEN1,0.2715
C0001206,CDKN2B,0.1994
C0001206,CDKN2C,0.1914
C0001206,CDKN1A,0.1341
C0001206,AIP,0.0794
C0001206,PRKAR1A,0.0691
C0001206,FOS,0.0466
C0001206,AGPAT2,0.0446
C0001206,GNAS,0.0435
C0001206,CAV1,0.0403
C0001206,BSCL2,0.0328
C0001206,PRL,0.0284625
C0001206,INSR,0.0277
C0001206,RET,0.0241333333333333
C0001339,BSCL2,1.0196
C0001339,AGPAT2,0.1692
C0001339,PPARG,0.08415
C0001339,GARS,0.07645
C0001339,PLIN1,0.0533
C0001339,LMNA,0.0392
C0001339,FOS,0.031
C0001339,CAV1,0.02485
C0001339,MPZ,0.0236
C0001339,FGD1,0.0229499999999999
C0001339,KCNJ6,0.0227
C0001339,EGR2,0.0204
C0001339,YARS,0.0198
C0001339,PDGFRB,0.0184
C0001339,ZMPSTE24,0.01725
C0001403,PEX16,0.2778
C0001403,PEX26,0.2545
C0001403,PEX3,0.2393
C0001403,PEX1,0.2218
C0001403,PEX5,0.2174
C0001403,PEX10,0.1677
C0001403,PEX13,0.1664
C0001403,PEX19,0.1581
C0001403,PEX6,0.1415
C0001403,PEX12,0.1351
C0001403,PEX2,0.1168
C0001403,PEX14,0.0994
C0001403,PEX11B,0.0621
C0001403,KDM6A,0.0297
C0001403,LIAS,0.0209857142857142
C0001418,HIKESHI,0.0972333333333333
C0001418,TIMP3,0.0625
C0001418,TP53,0.0612
C0001418,PYCARD,0.0514
C0001418,PSCA,0.048
C0001418,CCBE1,0.0469
C0001418,CGB3,0.0459
C0001418,FRTS1,0.0374
C0001418,FAS,0.0349
C0001418,SLC2A2,0.03405
C0001418,IL13,0.0317
C0001418,IL2,0.0308111111111111
C0001418,SLC34A1,0.0299
C0001418,DCHS1,0.02965
C0001418,PTGER4,0.0284999999999999
C0001430,SCAX5,0.0519833333333333
C0001430,GJB1,0.0491
C0001430,GALNT12,0.04265
C0001430,CYP11B1,0.0350666666666666
C0001430,CYP11B2,0.03105
C0001430,LHCGR,0.0299666666666666
C0001430,CAT,0.0286666666666666
C0001430,NKX2-5,0.0235
C0001430,HLA-A,0.0229
C0001430,CYB5A,0.0227
C0001430,LHB,0.02255
C0001430,GNAS,0.0225
C0001430,HMX1,0.0222
C0001430,NR3C1,0.0219
C0001430,CYP17A1,0.0218555555555555
C0001618,TP53,0.2255
C0001618,MDM2,0.132
C0001618,CHEK2,0.0824
C0001618,CDKN2A,0.0660999999999999
C0001618,RB1,0.0540666666666666
C0001618,MYC,0.05225
C0001618,BCL2,0.0506
C0001618,SMARCB1,0.04865
C0001618,BRCA2,0.04795
C0001618,TRIP11,0.0476
C0001618,HMGA2,0.0463
C0001618,BAP1,0.046
C0001618,CDK4,0.0456
C0001618,HTRA1,0.0412666666666666
C0001618,SUCLA2,0.0389
C0001621,LHCGR,0.367
C0001621,FSHB,0.18455
C0001621,TBX15,0.1506
C0001621,AR,0.138
C0001621,LHB,0.1062
C0001621,TSHB,0.0869
C0001621,DMPK,0.082
C0001621,WNT3,0.0747
C0001621,PAX3,0.0658
C0001621,FSHR,0.05955
C0001621,WNT7A,0.0542
C0001621,GALT,0.0491
C0001621,MBTPS2,0.0474
C0001621,MKS1,0.0463
C0001621,CNBP,0.04425
C0001623,HSD3B2,0.0829875
C0001623,POR,0.07785
C0001623,CYP11B1,0.05475
C0001623,NR0B1,0.037825
C0001623,SOX3,0.035625
C0001623,TBX19,0.0328875
C0001623,LHCGR,0.0290599999999999
C0001623,CRH,0.025
C0001623,NR3C2,0.0238428571428571
C0001623,CYP11B2,0.023375
C0001623,CYP17A1,0.0232125
C0001623,STAR,0.02208
C0001623,POU1F1,0.0217714285714285
C0001623,MKS1,0.0191
C0001623,HSD11B2,0.0184333333333333
C0001624,TAC3,0.06855
C0001624,LHB,0.0677
C0001624,TACR3,0.0670833333333333
C0001624,NSMF,0.06705
C0001624,CHD7,0.0526
C0001624,ANOS1,0.0481666666666666
C0001624,FGF17,0.0481428571428571
C0001624,DUSP6,0.0431166666666666
C0001624,FGF8,0.0430833333333333
C0001624,FGFR1,0.0427142857142857
C0001624,GNRH1,0.0378
C0001624,PRKAR1A,0.0361714285714285
C0001624,HS6ST1,0.0351571428571428
C0001624,KISS1,0.0343
C0001624,PDE11A,0.0335714285714285
C0001627,CYP11B1,0.5389
C0001627,HSD3B2,0.2571
C0001627,POR,0.2203
C0001627,CYP11B2,0.1142857142857143
C0001627,CYP17A1,0.0987
C0001627,CYP11A1,0.0700428571428571
C0001627,CYP21A2,0.0417
C0001627,CYB5A,0.0346857142857142
C0001627,STAR,0.0303
C0001627,ATIC,0.03
C0001627,NR3C1,0.0250428571428571
C0001627,AIP,0.0247142857142857
C0001627,GRIK2,0.0209
C0001627,GRIA3,0.0205
C0001627,KCNJ5,0.0203714285714285
C0001723,MDD1,0.0985
C0001723,TPH2,0.0766
C0001723,DRD4,0.0673333333333333
C0001723,CRH,0.0550999999999999
C0001723,IDO1,0.05415
C0001723,F2,0.05135
C0001723,COMT,0.0406
C0001723,NOS3,0.0258
C0001723,CNR2,0.02465
C0001723,NTRK2,0.0234
C0001723,ASPG2,0.0233
C0001723,ASPG4,0.0232
C0001723,ASPG3,0.0232
C0001723,ASPG1,0.0232
C0001723,IL1B,0.022025
C0001733,ABCB4,0.4327499999999999
C0001733,ATP8B1,0.3548
C0001733,FGG,0.1513666666666666
C0001733,FGA,0.1386
C0001733,F13B,0.0906
C0001733,TJP2,0.0650999999999999
C0001733,FGB,0.0649
C0001733,HRG,0.0562499999999999
C0001733,F13A1,0.0554
C0001733,B2M,0.0422
C0001733,TTR,0.0412
C0001733,AMACR,0.0411
C0001733,LYZ,0.04045
C0001733,RET,0.0398
C0001733,PRF1,0.0356
C0001768,CIITA,0.2443
C0001768,RFXAP,0.2424
C0001768,BLNK,0.1661
C0001768,CD79B,0.1647
C0001768,IGLL1,0.1597
C0001768,RFX5,0.1558
C0001768,RFXANK,0.1553
C0001768,BTK,0.0967
C0001768,CD79A,0.0567
C0001768,IGHM,0.0549
C0001768,RAG1,0.0501777777777777
C0001768,RAG2,0.0491111111111111
C0001768,PIK3R1,0.0477
C0001768,JAK3,0.0446
C0001768,IL2RA,0.0378555555555555
C0001807,TREM2,0.1409
C0001807,CHMP2B,0.1392
C0001807,GLDC,0.0995
C0001807,GRN,0.0903
C0001807,GCSH,0.0881
C0001807,MAPT,0.0851
C0001807,TBX1,0.0732
C0001807,DGCR2,0.0665
C0001807,AMT,0.0664
C0001807,DNM1,0.0652
C0001807,SQSTM1,0.058
C0001807,VCP,0.0567
C0001807,PSEN1,0.0534
C0001807,FMR3,0.0472571428571428
C0001807,DGCR6,0.0458
C0001815,MPL,0.3675
C0001815,THPO,0.2606
C0001815,SH2B3,0.1674
C0001815,SNRPN,0.1464
C0001815,AGXT,0.1082
C0001815,TET2,0.103
C0001815,HRAS,0.092
C0001815,CALR,0.0714
C0001815,COMP,0.0694
C0001815,F5,0.0613
C0001815,ATP7A,0.0587
C0001815,NSD1,0.0562
C0001815,SERPIND1,0.0559
C0001815,TRPS1,0.0475
C0001815,EPAS1,0.0391
C0001816,PSEN1,0.1719333333333333
C0001816,TREM2,0.1622
C0001816,MAPT,0.1567
C0001816,GRN,0.1453333333333333
C0001816,VCP,0.1393333333333333
C0001816,CHMP2B,0.1334999999999999
C0001816,TYROBP,0.1268
C0001816,SRPX2,0.12555
C0001816,SQSTM1,0.0751666666666666
C0001816,ECT,0.0548
C0001816,PLCE1,0.0541
C0001816,VDR,0.0498666666666666
C0001816,VPS13A,0.0440666666666666
C0001816,GALT,0.0383
C0001816,GABRG2,0.03755
C0001818,CREBBP,0.4343
C0001818,EP300,0.4192
C0001818,DYT15,0.0969666666666666
C0001818,MED12,0.0657
C0001818,PNKD,0.0526
C0001818,DRD3,0.0464999999999999
C0001818,TOR1A,0.046275
C0001818,CHN1,0.0379333333333333
C0001818,COL6A3,0.0323
C0001818,DRD2,0.0315
C0001818,GCH1,0.0295
C0001818,SALL1,0.0284999999999999
C0001818,CACNA1B,0.0284666666666666
C0001818,PNPLA6,0.0262
C0001818,THAP1,0.0259666666666666
C0001824,CSF3,0.2203
C0001824,CSF2RA,0.0632333333333333
C0001824,IL2,0.0613
C0001824,IFNG,0.057275
C0001824,TTPA,0.0528
C0001824,PRL,0.05
C0001824,TNF,0.0491749999999999
C0001824,OCLN,0.0436999999999999
C0001824,IFNA2,0.0364499999999999
C0001824,BCL2,0.0328
C0001824,ABCC2,0.03125
C0001824,UGT1A1,0.031075
C0001824,HMGA1,0.0296
C0001824,IL1B,0.02955
C0001824,IL1RN,0.0281
C0001883,PROS1,0.1035
C0001883,THBD,0.0988
C0001883,PLAU,0.09
C0001883,F5,0.0841
C0001883,PTGER2,0.0548
C0001883,TIRAP,0.0531
C0001883,BCHE,0.0524
C0001883,ITGB3,0.0524
C0001883,TBX21,0.0456
C0001883,SERPINC1,0.0436999999999999
C0001883,SERPIND1,0.03895
C0001883,COL7A1,0.0365
C0001883,SERPINF2,0.0365
C0001883,MMP1,0.0357
C0001883,PTGER1,0.0326
C0001916,TYR,0.3785
C0001916,MITF,0.2609
C0001916,OCA2,0.1675
C0001916,MC1R,0.1212
C0001916,HPS1,0.1048
C0001916,SLC45A2,0.0769
C0001916,GPR143,0.0523285714285714
C0001916,POLH,0.04652
C0001916,LYST,0.0419142857142857
C0001916,CACNA1F,0.0408
C0001916,HPS5,0.0386
C0001916,OASD,0.0383833333333333
C0001916,TYRP1,0.034
C0001916,GGCX,0.0337
C0001916,ELP4,0.0331399999999999
C0001925,KIRREL3,0.0778
C0001925,AGTR1,0.0455333333333333
C0001925,IL1B,0.03548
C0001925,CYP17A1,0.0308999999999999
C0001925,ACE,0.0306
C0001925,BDNF,0.0306
C0001925,NUP93,0.0301
C0001925,XPO5,0.0293
C0001925,IL1A,0.02916
C0001925,CAPN14,0.026575
C0001925,EOE2,0.02535
C0001925,CCL26,0.025275
C0001925,EOE1,0.024975
C0001925,ALB,0.02155
C0001925,TGFB1,0.02137
C0001956,TAS2R38,0.10455
C0001956,F8,0.05686
C0001956,S100B,0.0481
C0001956,MBTPS2,0.046
C0001956,ERCC2,0.0364333333333333
C0001956,LMAN1,0.0352
C0001956,NOTCH4,0.0314
C0001956,DRD4,0.0313166666666666
C0001956,NBEAL2,0.02935
C0001956,ERCC6,0.0288749999999999
C0001956,SLC7A10,0.02815
C0001956,ERCC5,0.0271
C0001956,LRP1,0.027
C0001956,HFM,0.02545
C0001956,GHS,0.0253
C0001957,FLNA,0.5129
C0001957,GRM1,0.222
C0001957,PER2,0.1535
C0001957,RORC,0.1246
C0001957,CHRNB2,0.0864
C0001957,CHRNA2,0.0829
C0001957,TAS2R38,0.0758
C0001957,MAP6,0.0742
C0001957,PER3,0.0498
C0001957,TPH2,0.0412499999999999
C0001957,OPHN1,0.0405
C0001957,PDGFRB,0.0293
C0001957,NPY,0.0288
C0001957,GABRA5,0.0276
C0001957,GABRB3,0.0274
C0001969,ADH7,0.0725875
C0001969,ALDH2,0.0596
C0001969,PARK3,0.0485
C0001969,S100B,0.03974
C0001969,OFC1,0.0344999999999999
C0001969,SLC6A3,0.03274
C0001969,TKT,0.03075
C0001969,MIR208A,0.03055
C0001969,RARG,0.02965
C0001969,DLST,0.0294
C0001969,NFE2L2,0.025
C0001969,CD36,0.0234
C0001969,COMT,0.02292
C0001969,KEAP1,0.0229
C0001969,MTHFR,0.0223
C0001973,HFM,0.1400428571428571
C0001973,SLC6A4,0.0968
C0001973,TPH2,0.09261
C0001973,ADH1B,0.0822
C0001973,GABRA5,0.0691
C0001973,DRD2,0.0668
C0001973,GABRB3,0.0633
C0001973,NPY,0.054
C0001973,CHRNB3,0.0531
C0001973,MAOA,0.052
C0001973,DRD3,0.0502
C0001973,CRH,0.0502
C0001973,GALR1,0.0487
C0001973,SLC6A3,0.0474
C0001973,HTR1A,0.0462
C0002018,TREM2,0.3812
C0002018,VCP,0.3749
C0002018,MAPT,0.3743
C0002018,GRN,0.3585
C0002018,PSEN1,0.3076
C0002018,CHMP2B,0.303
C0002018,SQSTM1,0.2495666666666667
C0002018,C9orf72,0.0665333333333333
C0002018,SNRPN,0.03986
C0002018,CACNA1A,0.0365333333333333
C0002018,RAI1,0.0297999999999999
C0002018,UBE2A,0.02645
C0002018,PLA2G6,0.0220666666666666
C0002018,SLC6A1,0.0172166666666666
C0002018,CHD2,0.01576
C0002063,MEN1,0.3039
C0002063,REN,0.2206
C0002063,ACE,0.1898
C0002063,SAT1,0.0959
C0002063,ADGRE2,0.0624
C0002063,CYP2C9,0.0555
C0002063,TBX19,0.0553
C0002063,GSS,0.0541
C0002063,USP8,0.0528
C0002063,AGTR1,0.0474
C0002063,GNAS,0.0456
C0002063,CDKN1B,0.0407
C0002063,CYP17A1,0.03955
C0002063,PTEN,0.0393
C0002063,MYH9,0.038
C0002064,CPS1,0.3618
C0002064,ASL,0.3547
C0002064,OTC,0.3042
C0002064,ASS1,0.2763
C0002064,FOXF1,0.10095
C0002064,SLC25A15,0.0415
C0002064,STRA6,0.0354
C0002064,ATP5A1,0.0341333333333333
C0002064,SLC7A7,0.03275
C0002064,TMEM70,0.032
C0002064,ARG1,0.03035
C0002064,UMPS,0.02785
C0002064,PDHX,0.0275333333333333
C0002064,PNPLA8,0.0274333333333333
C0002064,FBXL4,0.0267666666666666
C0002170,ALOX12B,0.1229
C0002170,GJB2,0.0826
C0002170,GJB6,0.073
C0002170,ADA,0.0686
C0002170,ABCA12,0.0636
C0002170,IL2RG,0.0612
C0002170,RAG2,0.0605
C0002170,LMNA,0.0586
C0002170,TGM1,0.0522
C0002170,RMRP,0.0511
C0002170,BRAF,0.04763
C0002170,IL7R,0.0475
C0002170,RAG1,0.0472
C0002170,LIG4,0.0472
C0002170,EDA,0.04671
C0002171,SFTPC,0.0828
C0002171,VCAN,0.07405
C0002171,PTPN22,0.0737
C0002171,HLA-DPB1,0.07145
C0002171,IL6,0.05356
C0002171,PRTN3,0.0510199999999999
C0002171,FBN1,0.0506
C0002171,CXCL11,0.0471
C0002171,PNPLA6,0.0425
C0002171,COL2A1,0.0399
C0002171,TFAP2A,0.0392
C0002171,CXCL10,0.0371
C0002171,CXCL9,0.0359
C0002171,PTPN2,0.035425
C0002171,CD247,0.034375
C0002312,HBB,1.1527
C0002312,HBA2,0.2644
C0002312,HBA1,0.226
C0002312,ATRX,0.0618
C0002312,HBG1,0.0272666666666666
C0002312,HBD,0.0249666666666666
C0002312,CYP1A2,0.02175
C0002312,ALDOA,0.0204999999999999
C0002312,HK1,0.02005
C0002312,HBG2,0.0192999999999999
C0002312,GPI,0.0186333333333333
C0002312,CYB5A,0.0166
C0002312,CYB5R3,0.0165
C0002312,MPL,0.0149333333333333
C0002312,COL1A2,0.0137
C0002382,CLCN7,0.2228
C0002382,SNX10,0.1543
C0002382,TCIRG1,0.1306999999999999
C0002382,CA2,0.0947
C0002382,SOST,0.0885
C0002382,TRIP11,0.0884
C0002382,NECTIN1,0.0826
C0002382,TP63,0.0655
C0002382,TNFRSF11B,0.0629
C0002382,TGFB1,0.059
C0002382,PIK3CA,0.0555
C0002382,LRP5,0.0547499999999999
C0002382,TBXAS1,0.0431
C0002382,GJA1,0.0392499999999999
C0002382,NME1,0.0326
C0002395,KCNT1,0.0923
C0002395,TBX19,0.0496
C0002395,APOA5,0.0496
C0002395,MIR208A,0.0478
C0002395,APP,0.0436
C0002395,PSEN1,0.0425
C0002395,CHRNA4,0.0400777777777777
C0002395,PLAT,0.03043
C0002395,APOE,0.0295
C0002395,CHRNA2,0.0291111111111111
C0002395,GFAP,0.02735
C0002395,PEPD,0.0248
C0002395,SLC4A10,0.0237
C0002395,C3,0.0228
C0002395,CELSR1,0.02145
C0002418,COL9A1,0.1733
C0002418,COL9A2,0.1148
C0002418,KIF21A,0.0832875
C0002418,CRYBB2,0.0545333333333333
C0002418,COL2A1,0.0481555555555555
C0002418,ERBB3,0.0458
C0002418,CRYGD,0.0384888888888888
C0002418,MIP,0.0289
C0002418,IKBKAP,0.02654
C0002418,COL11A1,0.0219
C0002418,BFSP2,0.0210999999999999
C0002418,TYR,0.0208875
C0002418,MMP9,0.01765
C0002418,THBS2,0.01695
C0002418,MITF,0.0168625
C0002448,PTCH1,0.5064
C0002448,MAP2K1,0.428
C0002448,SUFU,0.1463
C0002448,PTCH2,0.1439
C0002448,CTNNB1,0.1172
C0002448,KRAS,0.1154
C0002448,MAP2K2,0.0934
C0002448,PTPN11,0.0779
C0002448,GLI2,0.0704
C0002448,SOS2,0.0614
C0002448,EFNB1,0.0512
C0002448,SOS1,0.043
C0002448,SNRPE,0.0393
C0002448,RPL21,0.0393
C0002448,SHH,0.0283
C0002452,SLC24A4,0.1631555555555555
C0002452,PHEX,0.1507666666666666
C0002452,ITGB6,0.1466
C0002452,WDR72,0.1136142857142857
C0002452,LAMC2,0.0445444444444444
C0002452,ENAM,0.0445
C0002452,FAM20A,0.0441
C0002452,TSC1,0.04095
C0002452,MMP20,0.0358
C0002452,C4orf26,0.0275
C0002452,GPR68,0.0268285714285714
C0002452,KLK4,0.0254
C0002452,ITGB4,0.0214444444444444
C0002452,NRAS,0.0178166666666666
C0002452,LAMA3,0.0171
C0002453,CYP11B1,0.18885
C0002453,CYB5A,0.1121333333333333
C0002453,HSD3B2,0.1079666666666666
C0002453,CYP17A1,0.068
C0002453,LHB,0.0517333333333333
C0002453,CYP19A1,0.0452
C0002453,DHH,0.0440666666666666
C0002453,POR,0.0402
C0002453,CGB3,0.03558
C0002453,GLI2,0.0349999999999999
C0002453,KLK3,0.03345
C0002453,PRL,0.032
C0002453,LHCGR,0.0297166666666666
C0002453,OXT,0.0285
C0002453,GATM,0.0277
C0002514,IDH2,0.0829857142857142
C0002514,ALDH4A1,0.0720111111111111
C0002514,GNMT,0.0362714285714285
C0002514,PLP1,0.0360625
C0002514,SHOC2,0.0351428571428571
C0002514,AHCY,0.0305
C0002514,POMC,0.03
C0002514,L2HGDH,0.0272999999999999
C0002514,CNR2,0.0271666666666666
C0002514,BMPR2,0.0267571428571428
C0002514,VHL,0.0251166666666666
C0002514,SLC25A1,0.0249999999999999
C0002514,UMPS,0.0233166666666666
C0002514,SLC6A20,0.0211625
C0002514,ASL,0.0182333333333333
C0002622,PLCB4,0.0613
C0002622,HMNJ,0.0496
C0002622,TNF,0.0483428571428571
C0002622,IL1B,0.0444428571428571
C0002622,BCHE,0.0341
C0002622,IFNG,0.0318571428571428
C0002622,CPT1A,0.0316
C0002622,IL11,0.03125
C0002622,CSF3,0.0254
C0002622,RELA,0.0247
C0002622,FAS,0.0237
C0002622,IL5,0.0211
C0002622,SCN9A,0.0208499999999999
C0002622,CALCA,0.0208166666666666
C0002622,CYP27B1,0.0203
C0002726,MAPT,0.0804833333333333
C0002726,IL31RA,0.0566749999999999
C0002726,PSEN2,0.0433999999999999
C0002726,BTK,0.0412
C0002726,LCAT,0.0399399999999999
C0002726,CHMP2B,0.03526
C0002726,TREM2,0.03518
C0002726,GRN,0.03488
C0002726,NPC2,0.0345
C0002726,TGFBI,0.0334
C0002726,VCP,0.03222
C0002726,PDR,0.0287
C0002726,GSN,0.02632
C0002726,PARP1,0.0254
C0002726,BSG,0.0251
C0002736,VCP,0.1166
C0002736,CHMP2B,0.1151
C0002736,SQSTM1,0.107
C0002736,MAPT,0.0964
C0002736,TREM2,0.0898
C0002736,GRN,0.07037
C0002736,TBK1,0.0605
C0002736,PON1,0.0585
C0002736,DCTN1,0.0584
C0002736,UNC13A,0.0545
C0002736,ATXN2,0.0539
C0002736,DAO,0.0536
C0002736,NEFH,0.052
C0002736,PRPH,0.0517
C0002736,TARDBP,0.0516
C0002768,SCN9A,0.3886
C0002768,SCN11A,0.1698
C0002768,NTRK1,0.1399
C0002768,NGF,0.1207
C0002768,FAM134B,0.0881
C0002768,SCN10A,0.0823
C0002768,MPV17,0.0785666666666666
C0002768,LMNA,0.0622
C0002768,KIF1A,0.0614666666666666
C0002768,POMC,0.0422666666666666
C0002768,SCN1A,0.0410333333333333
C0002768,RET,0.0400333333333333
C0002768,IKBKAP,0.0345666666666666
C0002768,ESR2,0.0321
C0002768,PRNP,0.0297333333333333
C0002792,NLRC4,0.3635
C0002792,F12,0.2008
C0002792,AGT,0.1722
C0002792,CSF3,0.1272
C0002792,SERPING1,0.0939
C0002792,GNAI2,0.0832
C0002792,KLKB1,0.0815
C0002792,AQP2,0.081
C0002792,ADAMTS13,0.0781
C0002792,COL1A1,0.0574
C0002792,TNFAIP3,0.0428
C0002792,SLC11A1,0.039
C0002792,IFNL3,0.0363
C0002792,CXCL8,0.0292
C0002792,BDKRB2,0.0277
C0002793,ATP5A1,0.1296
C0002793,EPAS1,0.1181
C0002793,EGLN1,0.1063
C0002793,VHL,0.098
C0002793,SLC2A1,0.08595
C0002793,TNPO3,0.0825
C0002793,PGK1,0.0714
C0002793,HDAC6,0.0707
C0002793,THAS,0.0665
C0002793,MAFD4,0.0662
C0002793,SLEN2,0.0662
C0002793,BOLA3,0.0652
C0002793,IBD22,0.0652
C0002793,SARDH,0.0651
C0002793,CVMRF,0.065
C0002871,GLRX5,0.2067
C0002871,TERC,0.0567
C0002871,PARN,0.0537
C0002871,DKC1,0.0533
C0002871,HBB,0.0494
C0002871,RTEL1,0.0468
C0002871,NOP10,0.045
C0002871,TINF2,0.0444
C0002871,PRF1,0.0432
C0002871,SLC7A7,0.0424
C0002871,HBD,0.0423
C0002871,NHP2,0.0403
C0002871,KLF1,0.0391
C0002871,CP,0.0357
C0002871,FANCE,0.0346
C0002874,TERT,0.1755
C0002874,NOP10,0.1595
C0002874,DKC1,0.1355222222222222
C0002874,TERC,0.1134
C0002874,PARN,0.1113888888888888
C0002874,RTEL1,0.1021666666666666
C0002874,TINF2,0.0842
C0002874,IFNG,0.0776
C0002874,NHP2,0.068
C0002874,WRAP53,0.0599
C0002874,CSF2,0.0511
C0002874,PRF1,0.0341
C0002874,SBDS,0.0283375
C0002874,NQO2,0.0261
C0002874,PLCG2,0.0212
C0002876,SEC23B,0.0902
C0002876,C15orf41,0.0889
C0002876,GATA1,0.08082
C0002876,HBB,0.04715
C0002876,MYD88,0.0445
C0002876,IDS,0.04065
C0002876,HBG1,0.0379749999999999
C0002876,DBA2,0.034275
C0002876,KLF1,0.0334
C0002876,HBG2,0.03095
C0002876,COMP,0.0236499999999999
C0002876,RPS29,0.02198
C0002876,RPS24,0.0187
